salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,class
110499.7354,0,54,3,14,4,135000,30,354724.1825,1
140893.7791,0,44,4,19,7,135000,2,395015.339,1
119159.6517,0,49,2,0,3,135000,22,122025.0852,1
20000,52593.63654,56,0,8,1,135000,30,99629.62146,1
93956.32049,0,59,1,14,1,135000,1,458679.8262,0
41365.43328,52809.15376,71,2,6,2,135000,19,216839.7152,0
94805.61113,0,32,1,16,1,135000,23,233216.0707,0
34410.6276,39884.39038,33,4,16,0,135000,6,450707.3812,0
128298.8212,0,32,1,18,2,135000,12,20768.06415,0
100806.9209,0,58,2,7,4,135000,6,293106.6546,1
49863.40964,57814.61932,22,1,11,1,135000,12,156086.6867,0
94554.18804,0,47,4,11,2,135000,4,100467.99,1
79637.65823,0,41,2,0,3,135000,6,387564.5476,0
87085.57895,0,40,4,8,2,135000,19,458378.0004,0
126945.6663,0,62,3,3,4,135000,23,211178.9014,1
29080.92083,53569.29067,58,1,12,3,135000,17,29965.97517,1
147561.7258,0,28,4,5,8,98520.65758,22,322196.3147,0
72346.05201,37970.09814,37,3,14,8,102562.1283,10,403166.447,0
52129.77195,29213.60412,44,3,8,6,135000,29,73639.45893,1
35640.04161,71087.29123,57,3,9,8,59892.82447,26,91722.42434,1
100868.9066,0,39,0,4,2,135000,21,300078.3626,1
98780.08068,0,77,1,11,6,135000,30,139597.9537,0
140685.8197,0,73,2,7,1,135000,6,185189.3088,0
109305.1954,0,31,2,16,0,135000,20,166310.2379,0
117212.3783,0,30,3,5,7,121933.9391,17,260175.807,0
41430.31861,32585.77872,53,2,9,5,135000,12,7023.300616,1
56118.04644,27368.07018,69,4,1,8,135000,22,41596.72091,0
79203.78449,0,75,2,3,0,135000,21,461032.0939,0
136189.4317,0,56,0,11,6,135000,11,152598.1311,1
67249.51459,43940.47013,30,2,10,6,135000,17,455241.0776,0
22854.2421,66152.44155,72,2,5,1,135000,20,321523.4878,0
30211.41075,19896.92305,41,0,18,4,135000,11,481293.5213,1
116690.5653,0,50,2,9,1,135000,29,199885.5631,1
94375.87719,0,27,3,17,4,135000,27,403469.11,0
91129.12641,0,75,3,9,6,135000,26,328625.351,0
94446.2489,0,67,3,7,5,135000,30,352264.6121,0
83858.10407,0,20,4,4,8,69625.92061,9,51211.42228,0
49898.09807,73661.13028,72,4,11,6,135000,23,484565.2146,0
27323.5208,25669.24253,30,0,16,8,109207.4205,27,233145.8521,0
73249.47943,0,27,0,1,1,135000,24,49875.72997,0
40408.25989,40203.87327,54,2,13,0,135000,24,437909.3552,1
48225.18379,68253.62544,25,4,5,3,135000,23,179703.2016,0
45520.00972,39546.35737,33,1,13,2,135000,13,138640.2199,0
30372.27565,16722.78445,80,0,4,3,135000,10,481605.8996,0
33167.37542,65126.59488,26,1,17,6,135000,3,475809.1777,0
55260.32748,43367.82916,59,2,6,6,135000,3,450971.8521,1
100862.5066,0,77,3,13,7,135000,26,135444.8306,0
33926.48622,10685.45742,42,1,14,5,135000,20,338957.7912,1
34547.10556,18927.6536,69,4,14,8,112877.2246,24,178745.3287,0
50400.92157,74293.58006,46,2,10,5,135000,27,155881.1573,1
36771.82483,30038.65765,66,0,14,3,135000,2,285592.9044,0
57293.90047,57086.30841,61,3,1,7,135000,12,254309.3692,1
103162.1155,0,22,0,10,6,135000,29,20154.04327,0
84321.91334,0,40,4,6,7,134340.5825,21,240352.3575,1
