att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,class
0.381272,0.408222,0.425529,0.019797,0.741448,0.544093,0.430365,0.445636,0.42741,0.492098,0
0.65823,0.42951,-0.034532,0.454709,0.525003,1.219551,0.478459,-0.256557,1.357006,0.002264,0
0.375428,0.39242,0.416639,0.045219,0.71401,0.569426,0.45319,0.468371,0.450019,0.485659,0
0.626572,0.138346,0.569989,0.716355,0.552564,0.366433,0.339864,0.956947,0.552162,0.50182,0
0.180229,0.660532,0.697415,0.655877,0.394371,0.944199,0.470112,0.168041,0.267036,0.704293,0
-0.029801,-1.228326,1.553388,1.921392,0.196068,0.419645,0.00682,-0.065078,0.094765,1.390008,0
0.853823,0.110192,0.906927,1.042657,0.566687,0.39041,0.379891,0.572591,0.826855,0.243038,0
0.376672,0.405097,0.407526,0.050463,0.723231,0.559326,0.457101,0.469265,0.440589,0.489594,0
0.404114,0.715078,0.389885,0.650626,-0.035089,0.803712,0.752548,0.82837,0.487759,-0.068082,1
0.014482,0.773532,0.628437,1.001725,0.62395,0.634323,0.088799,0.635582,0.738413,0.803858,0
0.360121,0.545142,0.63243,0.958764,0.828468,0.903227,-0.153185,0.386114,0.967328,0.641899,0
0.431832,1.026,0.585644,0.978665,-0.169956,0.507422,0.335083,0.361021,0.344697,-0.168307,1
0.180468,0.464551,0.590503,0.596836,0.262345,0.587865,0.219112,-0.026444,0.110238,0.164983,1
0.178858,0.432606,0.522838,0.601239,0.20232,0.612735,0.217604,-0.000808,0.197099,0.158702,1
0.199815,0.808709,0.22626,0.05032,0.35055,0.754497,0.67201,0.141334,0.720892,-0.038274,0
0.466499,0.186246,0.52909,1.198254,-0.215429,0.298346,-0.082731,1.23688,1.189086,0.504433,0
0.33658,0.324142,0.168603,0.072736,1.158692,0.646265,0.202276,0.130293,-0.05579,0.915651,0
0.877717,0.213899,0.785805,0.811419,0.496039,0.804002,0.208675,0.979274,0.908065,0.34878,0
