n1,n2,n3,n4,n5,n6,n7,n8,class
34.6,32.9,1004.6,3.9,13.8,22.0,36.0,33.1,1.0
37.2,30.2,1012.2,10.7,8.1,17.1,50.0,30.9,0.0
15.3,12.0,1038.9,2.6,9.2,10.1,19.9,9.0,1.0
36.7,36.4,1003.8,1.0,6.6,15.0,39.0,34.0,1.0
8.5,-0.8,1031.4,8.5,12.7,22.0,16.0,0.0,0.0
28.8,28.2,1018.6,0.9,9.7,18.1,34.0,19.9,1.0
18.6,14.8,1018.0,4.1,9.3,26.0,19.9,16.0,1.0
12.1,6.8,1020.7,10.8,7.8,13.0,30.9,3.9,0.0
5.6,0.2,1020.8,5.5,9.7,12.0,16.0,-5.1,0.0
23.3,18.0,1007.5,14.2,12.8,26.0,34.0,14.0,0.0
25.3,21.9,1010.2,7.5,12.0,22.0,42.1,14.0,0.0
24.8,16.1,1019.3,12.5,9.6,17.1,32.0,16.0,0.0
15.1,10.1,1032.6,8.7,8.2,8.9,23.0,8.1,1.0
33.4,29.4,1017.2,8.5,14.0,28.0,43.0,25.0,0.0
21.6,17.3,1032.5,12.4,8.3,17.1,28.0,14.0,0.0
42.3,37.3,1013.5,7.4,1.9,8.9,57.9,30.9,0.0
36.2,33.5,1011.2,6.9,8.8,26.0,43.0,30.9,1.0
30.9,25.5,1020.1,10.9,4.6,15.9,39.0,26.1,0.0
27.7,21.5,1022.5,11.1,8.8,14.0,37.0,23.0,0.0
44.7,36.7,1011.9,10.2,16.3,26.0,68.0,33.1,0.0
54.1,45.5,998.7,9.2,18.9,35.0,68.0,46.0,0.0
50.7,34.3,1008.9,12.3,6.3,26.0,69.1,37.9,0.0
37.8,30.0,1020.2,9.6,9.8,22.9,48.9,28.9,0.0
45.6,34.0,1015.2,12.5,10.1,20.0,57.9,33.1,0.0
51.6,33.8,1018.2,12.1,13.7,20.0,57.9,46.0,1.0
59.9,43.9,1003.5,9.3,8.0,17.1,73.9,48.0,0.0
53.7,39.5,1010.3,11.8,15.4,30.1,61.0,44.1,0.0
56.3,47.0,1012.8,9.7,13.3,17.1,66.9,50.0,1.0
69.7,47.3,1013.6,13.3,14.4,26.0,88.0,54.0,0.0
64.1,41.8,1017.3,13.9,10.1,17.1,78.1,51.1,0.0
74.8,64.1,1011.0,12.6,16.3,30.1,91.0,61.0,0.0
61.2,54.3,1021.8,12.3,9.1,17.1,68.0,54.0,0.0
63.6,55.9,1021.0,13.0,4.3,10.1,75.9,51.1,0.0
66.4,60.7,1014.7,10.7,5.4,13.0,75.0,60.1,1.0
58.0,53.2,1015.0,8.9,6.0,15.9,75.0,52.0,1.0
62.0,56.3,1012.7,10.9,2.7,13.0,68.0,54.0,1.0
