n1,n2,n3,n4,n5,n6,n7,n8,class
19.8,14.0,1019.6,8.4,9.9,15.9,28.9,14.0,0.0
14.7,7.9,1009.9,8.1,14.1,22.0,21.0,9.0,0.0
14.9,10.8,1025.6,8.0,19.8,26.0,32.0,7.0,0.0
19.7,13.6,1019.1,11.8,5.0,10.1,37.0,10.9,0.0
7.0,-0.1,1032.4,9.6,10.7,22.0,18.0,1.0,0.0
10.4,6.6,1023.8,5.3,9.7,15.9,18.0,1.9,1.0
2.8,-2.8,1039.0,4.9,14.2,18.1,7.0,1.0,0.0
-2.5,-9.8,1041.6,11.5,10.9,13.0,1.9,-8.0,0.0
1.3,-5.9,1032.5,9.1,11.0,17.1,15.1,-7.1,0.0
19.3,16.2,1013.6,8.1,11.5,22.0,28.9,9.0,1.0
13.0,5.8,1026.7,13.8,13.1,26.0,30.9,-0.9,0.0
7.5,2.8,1020.9,6.7,6.8,11.1,17.1,1.9,0.0
38.0,33.0,1014.1,12.8,13.6,22.0,44.1,26.1,0.0
29.4,28.0,1025.6,6.8,5.0,10.1,34.0,26.1,0.0
33.0,29.0,1023.2,9.6,4.6,10.1,39.0,30.0,0.0
35.0,30.5,1023.8,11.1,7.7,12.0,44.1,28.9,0.0
36.6,31.8,1019.9,9.4,8.2,17.1,43.0,33.1,1.0
26.7,20.9,1025.1,10.4,10.1,15.0,32.0,21.0,0.0
28.0,23.7,1028.2,5.4,11.7,17.1,33.1,19.0,0.0
28.6,21.8,1026.3,11.1,8.0,10.1,39.9,21.9,0.0
35.3,32.4,1011.8,4.9,16.4,22.0,39.0,33.1,1.0
46.5,42.2,1006.8,7.6,12.3,25.1,53.1,42.1,1.0
43.2,40.1,1008.3,6.6,17.4,26.0,57.0,39.0,1.0
43.0,31.9,1020.4,11.4,5.8,13.0,53.1,36.0,0.0
55.3,37.7,1013.6,12.3,7.7,22.0,70.0,45.0,0.0
49.4,29.0,1021.3,11.2,8.6,13.0,68.0,34.0,0.0
36.9,30.5,1021.4,11.8,17.0,26.0,45.0,33.1,0.0
46.8,31.5,1023.9,13.5,10.2,17.1,64.0,34.0,0.0
59.5,38.9,1018.6,13.0,8.1,15.9,77.0,41.0,0.0
62.8,43.3,1022.0,9.8,9.5,18.1,73.0,54.0,0.0
56.8,49.1,1001.0,9.5,14.2,22.0,64.9,50.0,1.0
76.6,68.5,1012.5,13.4,16.0,22.0,84.9,69.1,1.0
56.7,50.9,1015.1,8.1,13.3,19.0,70.0,48.9,1.0
71.5,62.2,1014.6,10.6,6.4,15.0,84.0,57.9,0.0
70.5,64.1,1010.0,10.3,14.3,26.0,80.1,63.0,1.0
61.7,58.1,999.0,7.4,10.2,22.0,68.0,57.9,1.0
64.9,55.9,1016.9,13.9,4.5,13.0,82.0,54.0,1.0
71.2,65.0,1011.3,10.8,11.3,15.9,80.1,64.0,0.0
69.7,63.6,1004.4,9.7,9.2,20.0,81.0,62.1,1.0
74.5,65.4,1014.8,11.8,3.0,12.0,88.0,64.0,0.0
71.8,66.6,1019.1,10.2,1.5,8.9,82.9,63.0,0.0
67.7,61.9,1008.6,9.9,8.2,13.0,73.9,60.1,1.0
73.2,67.8,1014.4,8.3,13.0,26.0,88.0,64.9,1.0
75.5,65.8,1013.7,13.8,9.3,25.1,88.0,66.9,1.0
81.7,74.1,1007.3,13.3,9.2,18.1,90.0,73.9,0.0
85.5,75.8,1012.8,11.8,13.5,18.1,96.1,77.0,0.0
85.0,76.1,1013.2,6.7,8.7,13.0,91.9,75.0,0.0
82.0,75.1,1013.3,9.6,7.4,19.0,90.0,75.9,1.0
75.1,66.3,1015.6,11.1,4.2,11.1,86.0,64.0,0.0
72.8,63.1,1015.3,11.7,3.6,14.0,84.0,60.1,0.0
77.9,68.6,1007.8,12.5,15.3,22.0,86.0,69.1,1.0
82.4,73.6,1015.5,14.0,11.8,18.1,91.9,73.9,0.0
82.4,77.6,1010.8,12.9,12.5,17.1,91.9,75.0,0.0
76.3,69.7,1012.7,13.4,10.5,17.1,82.0,68.0,1.0
77.1,67.5,1018.9,13.1,8.7,13.0,90.0,64.9,0.0
79.0,71.7,1012.4,14.2,10.5,17.1,89.1,72.0,1.0
78.7,74.1,1012.8,13.3,9.9,17.1,88.0,72.0,1.0
77.0,69.0,1015.1,8.5,4.8,13.0,87.1,69.1,1.0
66.3,57.3,1022.5,11.8,4.1,12.0,77.0,55.9,0.0
76.6,65.0,1017.1,12.4,9.9,15.9,89.1,64.9,0.0
73.5,61.0,1016.4,12.0,4.2,12.0,86.0,64.0,0.0
66.9,50.9,1017.1,14.3,11.0,17.1,82.0,53.1,0.0
63.9,57.7,1017.7,11.2,8.3,20.0,71.1,57.9,1.0
60.6,55.6,1016.7,9.0,9.2,22.0,70.0,57.9,1.0
55.0,50.3,1022.4,11.9,3.1,13.0,62.1,48.9,0.0
63.1,56.4,1014.9,10.9,3.6,15.0,77.0,46.0,0.0
61.4,49.1,1018.2,12.8,7.8,26.0,72.0,51.1,0.0
65.8,55.2,1014.9,14.1,11.5,17.1,79.0,57.0,1.0
56.6,44.5,1020.2,13.4,11.9,26.0,73.0,44.1,0.0
64.3,55.0,1018.2,14.9,9.5,15.0,77.0,55.0,1.0
77.1,70.0,1005.0,13.5,18.0,22.0,88.0,66.9,0.0
54.2,45.7,1016.5,12.5,2.3,10.1,77.0,41.0,0.0
60.7,53.2,1015.2,14.1,11.3,25.1,75.9,50.0,0.0
53.9,52.7,1012.6,3.5,7.1,13.0,69.1,48.0,1.0
41.6,33.4,1032.0,13.3,3.6,10.1,50.0,30.0,0.0
55.8,49.2,1019.8,11.5,2.0,8.9,72.0,45.0,0.0
51.9,38.1,1012.0,14.9,10.7,19.0,70.0,42.1,0.0
39.0,31.9,1031.0,12.4,4.8,13.0,55.0,26.1,0.0
59.9,51.2,1003.5,14.8,10.1,15.0,69.1,51.1,0.0
48.2,38.2,1014.1,12.7,10.8,25.1,68.0,36.0,0.0
39.5,31.5,1026.0,14.9,13.1,22.0,48.9,30.9,0.0
32.6,24.9,1030.2,12.1,16.3,30.1,39.0,27.0,0.0
35.9,28.5,1018.6,14.2,4.9,10.1,48.0,28.9,0.0
48.5,39.5,1013.8,14.5,8.0,22.9,60.1,35.1,0.0
47.5,35.8,1014.2,10.9,11.3,20.0,54.0,42.1,0.0
31.1,19.0,1021.1,12.8,16.0,25.1,45.0,24.1,0.0
49.1,46.0,996.3,8.5,17.8,28.9,55.9,24.1,1.0
26.1,15.6,1026.6,14.9,9.9,17.1,44.1,16.0,0.0
37.6,36.2,1014.6,2.4,7.9,17.1,42.1,32.0,0.0
13.8,5.6,1022.4,14.4,8.9,17.1,30.0,5.0,0.0
28.0,19.1,1019.7,12.6,4.5,10.1,44.1,18.0,0.0
41.1,37.6,1023.9,7.1,5.7,13.0,44.1,37.0,0.0
