numeric1,numeric2,numeric3,numeric4,numeric5,numeric6,numeric7,numeric8,numeric9,numeric10,numeric11,numeric12,numeric13,numeric14,numeric15,numeric16,numeric17,numeric18,numeric19,numeric20,class
0.730609,0.918714,0.918607,0.679557,0.078388,0.024814,0.699252,0.804937,0.151232,0.924581,0.763835,0.003381,0.736423,0.95622,0.823649,0.188683,0.326099,0.751548,0.28042,0.230114,0 
0.807624,0.759213,0.781377,0.893084,0.524047,0.05142,0.346815,0.480214,0.906581,0.570467,0.557732,0.571757,0.897645,0.214512,0.323346,0.148131,0.680841,0.936446,0.561775,0.292339,0 
0.813387,0.335386,0.721892,0.616344,0.716806,0.057233,0.450336,0.533028,0.623352,0.688888,0.864892,0.504122,0.498441,0.730141,0.833932,0.434551,0.163492,0.65792,0.381326,0.45493,1 
0.82893,0.059487,0.837227,0.436472,0.513691,0.304331,0.637328,0.716369,0.375434,0.248953,0.736708,0.676745,0.804767,0.024343,0.449079,0.016562,0.247123,0.042934,0.148222,0.783414,0 
0.107567,0.979918,0.675658,0.490903,0.766618,0.633273,0.487037,0.937378,0.689305,0.247473,0.539481,0.663055,0.845019,0.097805,0.673083,0.335112,0.17231,0.875345,0.771999,0.734125,0 
0.620659,0.687096,0.304026,0.43026,0.380329,0.291413,0.932315,0.683906,0.271753,0.525801,0.768828,0.583006,0.907555,0.75229,0.49636,0.938096,0.163086,0.545041,0.024465,0.996124,1 
0.695525,0.775482,0.564302,0.605409,0.736906,0.712195,0.008437,0.06662,0.153042,0.745926,0.283831,0.538473,0.808179,0.874533,0.909744,0.53186,0.604296,0.138312,0.336989,0.722423,0 
0.174349,0.783084,0.770976,0.039115,0.100313,0.046592,0.088181,0.745108,0.699778,0.113138,0.144174,0.017396,0.878914,0.962094,0.241052,0.352795,0.285004,0.54781,0.77312,0.980511,1 
0.00832,0.991622,0.101856,0.345302,0.380989,0.241051,0.524712,0.640243,0.999577,0.956986,0.796998,0.314444,0.958501,0.226524,0.042082,0.45855,0.422938,0.067327,0.042388,0.979713,0 
0.092795,0.588748,0.842101,0.517695,0.813377,0.105675,0.312274,0.125096,0.573746,0.462914,0.829953,0.837225,0.400382,0.321134,0.505208,0.390924,0.201584,0.179786,0.453404,0.516681,0 
0.447175,0.468092,0.454789,0.424681,0.6784,0.122086,0.969444,0.332966,0.234537,0.683885,0.882867,0.14466,0.255569,0.108768,0.545952,0.671275,0.974374,0.14629,0.64283,0.12038,1 
0.547251,0.373603,0.171034,0.918474,0.188186,0.702288,0.350661,0.323672,0.170123,0.454454,0.5927,0.697867,0.335607,0.909472,0.751398,0.754333,0.119505,0.55968,0.76153,0.574221,1 
0.728148,0.181526,0.418666,0.694266,0.042023,0.228039,0.498984,0.107986,0.013329,0.979178,0.634938,0.594,0.814982,0.348534,0.364024,0.387598,0.764325,0.23802,0.550171,0.845501,0 
0.09259,0.856577,0.940685,0.418777,0.960312,0.474628,0.966485,0.945183,0.729205,0.672893,0.019268,0.999725,0.392648,0.262353,0.34653,0.801026,0.239743,0.70157,0.393803,0.961136,1 
0.282051,0.018224,0.893211,0.187696,0.707417,0.953655,0.248441,0.899913,0.641939,0.292345,0.79841,0.603592,0.798959,0.112708,0.355431,0.785509,0.173072,0.001202,0.008378,0.033702,1 
0.797482,0.108713,0.557335,0.067789,0.724669,0.296288,0.103445,0.372206,0.813135,0.516765,0.256144,0.165332,0.607146,0.009445,0.1397,0.508697,0.58171,0.846925,0.881943,0.463066,1 
0.291632,0.866336,0.550308,0.331951,0.51136,0.041658,0.563787,0.198144,0.281419,0.909451,0.45411,0.155152,0.887577,0.747253,0.475447,0.862981,0.190514,0.82205,0.969172,0.316454,1 
0.396592,0.17565,0.57867,0.00434,0.31443,0.094457,0.378931,0.958819,0.377355,0.623046,0.736624,0.547382,0.228383,0.224102,0.248594,0.243015,0.462241,0.961724,0.420173,0.023593,1 
0.198054,0.390722,0.839457,0.497683,0.516651,0.671484,0.479646,0.331475,0.438068,0.298131,0.418789,0.060393,0.037658,0.227099,0.704752,0.908929,0.503341,0.123958,0.31294,0.813574,0 
0.421849,0.908185,0.145297,0.446223,0.348462,0.768762,0.80133,0.669246,0.762533,0.347914,0.415361,0.518452,0.84026,0.845931,0.198979,0.506439,0.086456,0.386955,0.45359,0.766404,1 
0.758714,0.103773,0.72523,0.315228,0.190193,0.049061,0.462264,0.504731,0.571358,0.221202,0.006319,0.551265,0.48636,0.704705,0.997788,0.88633,0.516343,0.168424,0.309454,0.95474,1 
0.519814,0.739175,0.435271,0.001847,0.779314,0.574038,0.856057,0.337659,0.06399,0.291522,0.279842,0.54321,0.799246,0.789943,0.811822,0.093345,0.957534,0.880786,0.047368,0.910086,1 
0.988411,0.595474,0.80125,0.432088,0.091385,0.98589,0.687221,0.888183,0.40162,0.732161,0.04432,0.596826,0.206473,0.895618,0.769757,0.278295,0.139904,0.710526,0.462935,0.562774,0 
0.412168,0.395077,0.91116,0.104996,0.523785,0.580313,0.354826,0.974914,0.585662,0.105053,0.158306,0.283894,0.321299,0.605571,0.482547,0.327238,0.062421,0.540669,0.306309,0.876347,1 
0.565918,0.035986,0.675231,0.637664,0.277874,0.205745,0.371397,0.310545,0.74954,0.415873,0.290755,0.122515,0.270481,0.28927,0.691786,0.197878,0.42569,0.122232,0.135976,0.624489,1 
0.206365,0.780395,0.379189,0.623472,0.508099,0.073274,0.692693,0.798007,0.335624,0.068347,0.093643,0.039827,0.79981,0.798829,0.746987,0.305852,0.040519,0.343677,0.364281,0.142441,0 
0.537972,0.314033,0.769602,0.53101,0.885667,0.367241,0.928732,0.356337,0.989475,0.487706,0.645019,0.557612,0.830402,0.423326,0.813784,0.812398,0.382584,0.846829,0.596879,0.424885,1 
0.013473,0.523328,0.129981,0.942417,0.709728,0.008517,0.407414,0.908026,0.770216,0.176378,0.8028,0.071762,0.186599,0.180911,0.278535,0.32989,0.792365,0.29334,0.713073,0.638569,0 
0.40272,0.424375,0.93225,0.157412,0.590667,0.040568,0.969304,0.918369,0.448636,0.614418,0.798047,0.386666,0.670438,0.709841,0.284537,0.383055,0.554881,0.297745,0.384911,0.97046,0 
0.080236,0.920883,0.680437,0.073083,0.027889,0.882839,0.185633,0.792383,0.243789,0.722859,0.991236,0.611838,0.51799,0.856485,0.711055,0.941207,0.235354,0.411276,0.890199,0.74105,1 
0.904658,0.967641,0.501922,0.289542,0.908642,0.126673,0.411271,0.506169,0.334164,0.570055,0.215987,0.630666,0.539485,0.551526,0.188554,0.47062,0.194786,0.565051,0.138031,0.877425,1 
0.892387,0.271758,0.886284,0.587828,0.064742,0.63587,0.710448,0.077108,0.871119,0.619268,0.541941,0.609922,0.917993,0.714989,0.932057,0.246213,0.163522,0.061887,0.795174,0.162034,0 
0.123078,0.875816,0.722798,0.279002,0.540663,0.457164,0.225183,0.861088,0.020131,0.090165,0.601961,0.433753,0.720504,0.736387,0.269211,0.107993,0.111246,0.542925,0.277613,0.150616,0 
0.956246,0.835247,0.444816,0.432142,0.149333,0.445323,0.994872,0.204983,0.759499,0.937553,0.848564,0.517121,0.66064,0.538195,0.740688,0.450267,0.418428,0.348405,0.153812,0.286544,1 
0.686073,0.726654,0.652788,0.654013,0.221049,0.563218,0.580229,0.678908,0.776494,0.537583,0.23044,0.18123,0.543812,0.349032,0.557714,0.990385,0.527135,0.341349,0.194688,0.528863,1 
0.215637,0.904477,0.057369,0.914449,0.186297,0.529137,0.095726,0.965305,0.817564,0.414833,0.812178,0.657246,0.123481,0.087324,0.01505,0.778857,0.828159,0.568569,0.900055,0.757624,1 
0.192118,0.260295,0.960063,0.889041,0.774846,0.851781,0.411916,0.490705,0.272035,0.243093,0.798772,0.824674,0.801309,0.68692,0.177419,0.983937,0.526841,0.095339,0.832249,0.322609,1 
0.311141,0.732237,0.771052,0.424504,0.161362,0.317794,0.3525,0.051049,0.597861,0.908331,0.271204,0.987015,0.714301,0.783001,0.783403,0.21134,0.621499,0.96822,0.494881,0.360377,0 
0.171264,0.961382,0.25237,0.022145,0.341863,0.677333,0.680733,0.002754,0.433326,0.63423,0.690397,0.339917,0.268679,0.919837,0.843032,0.503525,0.926273,0.534968,0.808142,0.919562,1 
0.138736,0.297693,0.269272,0.681134,0.385692,0.610111,0.545705,0.069216,0.880205,0.038868,0.884041,0.295756,0.103058,0.841318,0.843753,0.70302,0.274281,0.281078,0.451811,0.505674,1 
0.167976,0.819945,0.833654,0.045818,0.974318,0.047508,0.841328,0.446273,0.491734,0.515511,0.79427,0.493683,0.792587,0.480873,0.824235,0.560561,0.647321,0.929479,0.473078,0.38416,1 
0.414846,0.152264,0.130584,0.560125,0.811075,0.575752,0.619251,0.680153,0.95285,0.511157,0.733921,0.145422,0.341104,0.979302,0.826386,0.821354,0.994973,0.79301,0.588557,0.864313,1 
0.777643,0.634333,0.03251,0.247111,0.065097,0.950838,0.291726,0.737757,0.300512,0.113382,0.275031,0.344662,0.649916,0.427195,0.393249,0.531549,0.92881,0.268766,0.548292,0.826617,0 
0.204818,0.832938,0.325388,0.803031,0.998024,0.717779,0.861383,0.791618,0.798506,0.849212,0.175524,0.101671,0.699694,0.053056,0.843854,0.972064,0.306499,0.919037,0.774333,0.952415,0 
0.718797,0.469494,0.497015,0.922818,0.313683,0.544919,0.822109,0.500722,0.254004,0.749145,0.938446,0.154797,0.136066,0.25888,0.025885,0.948191,0.955965,0.795491,0.237392,0.467357,1 
0.621885,0.58132,0.470017,0.157676,0.568783,0.158498,0.688705,0.983374,0.642235,0.535124,0.692885,0.056808,0.309832,0.241863,0.122964,0.640929,0.431357,0.531397,0.192363,0.718824,0 
0.273065,0.133857,0.100456,0.145499,0.186766,0.693262,0.332719,0.2496,0.390986,0.253165,0.086665,0.636576,0.589351,0.934104,0.875596,0.859818,0.74043,0.251144,0.956912,0.572595,1 
0.153624,0.356684,0.607742,0.751149,0.227307,0.86189,0.427827,0.588102,0.56825,0.789514,0.788127,0.695369,0.935476,0.641526,0.263287,0.327049,0.437048,0.526909,0.387122,0.435319,0 
0.67489,0.788118,0.352489,0.506136,0.080581,0.589122,0.340378,0.2866,0.514187,0.483628,0.007811,0.7121,0.308524,0.068962,0.29008,0.568933,0.332865,0.449303,0.080116,0.686854,1 
0.322945,0.381308,0.536219,0.746059,0.678213,0.655911,0.739155,0.104393,0.162664,0.481918,0.170541,0.403117,0.462136,0.380232,0.016729,0.093358,0.34885,0.37195,0.61583,0.440385,1 
0.283056,0.049204,0.460261,0.009183,0.641996,0.454589,0.043187,0.112294,0.408013,0.563133,0.494437,0.20971,0.070453,0.560198,0.389952,0.790632,0.700157,0.039384,0.338574,0.838199,0 
0.640652,0.706384,0.950924,0.580832,0.026757,0.167935,0.57737,0.867623,0.3892,0.909405,0.765556,0.17025,0.932901,0.620226,0.732688,0.910163,0.68697,0.613307,0.273747,0.537356,0 
0.616035,0.202694,0.434034,0.545808,0.955383,0.553208,0.962918,0.400718,0.48651,0.696401,0.035391,0.173962,0.204999,0.119127,0.979014,0.536712,0.849271,0.574169,0.776052,0.641975,1 
0.056598,0.536774,0.924088,0.344839,0.491863,0.036626,0.83312,0.154484,0.154907,0.431696,0.313129,0.289584,0.21391,0.058557,0.863327,0.217497,0.135106,0.593195,0.412783,0.097687,0 
0.583206,0.386984,0.881825,0.621101,0.552304,0.004421,0.43463,0.839774,0.453593,0.682377,0.575608,0.714721,0.434107,0.455042,0.305671,0.275213,0.029775,0.244386,0.399229,0.478817,0 
0.366462,0.302902,0.488679,0.089134,0.514224,0.013525,0.050451,0.146943,0.272914,0.201075,0.575072,0.900503,0.621328,0.790197,0.173507,0.382063,0.297446,0.856716,0.622966,0.170154,1 
0.493956,0.86247,0.387607,0.261034,0.451042,0.138113,0.463058,0.387699,0.807574,0.484017,0.988366,0.571159,0.932152,0.096363,0.445009,0.166208,0.097081,0.893615,0.919795,0.172726,1 
0.28119,0.718051,0.346961,0.123572,0.59152,0.817619,0.864522,0.431424,0.779246,0.475367,0.420872,0.679457,0.091819,0.646811,0.549893,0.974554,0.751142,0.990043,0.796293,0.146749,1 
0.676714,0.729038,0.617604,0.274941,0.683016,0.377534,0.71528,0.746404,0.272022,0.469029,0.654538,0.816447,0.314567,0.087836,0.321063,0.4246,0.368403,0.176823,0.232442,0.84499,1 
0.116129,0.309362,0.973147,0.60111,0.422782,0.856187,0.05412,0.958988,0.810728,0.252263,0.311505,0.227783,0.728586,0.374446,0.553777,0.043122,0.851284,0.877616,0.542502,0.786064,1 
0.789939,0.705133,0.549194,0.299322,0.013096,0.888885,0.669217,0.102438,0.484987,0.184855,0.793369,0.3789,0.511791,0.052047,0.638828,0.110711,0.553504,0.975786,0.523294,0.869717,1 
0.306871,0.160804,0.629694,0.940045,0.193925,0.1752,0.353516,0.642294,0.501035,0.213281,0.95081,0.957633,0.804983,0.263433,0.112148,0.808791,0.995409,0.616615,0.276281,0.644936,1 
0.157088,0.831704,0.466974,0.298728,0.810862,0.485851,0.187478,0.436386,0.528611,0.781178,0.439312,0.305388,0.735553,0.353529,0.245522,0.899456,0.592227,0.434693,0.15329,0.106786,1 
0.208864,0.856398,0.066765,0.885002,0.086485,0.252553,0.418194,0.015114,0.601879,0.215639,0.123918,0.526795,0.557739,0.093785,0.991534,0.45858,0.30457,0.577015,0.245473,0.219135,1 
0.707615,0.214284,0.6205,0.449526,0.279834,0.527354,0.036098,0.951461,0.131166,0.44323,0.209445,0.942761,0.994548,0.353761,0.690636,0.628868,0.480866,0.229209,0.711074,0.837979,1 
0.887793,0.861984,0.924385,0.25742,0.341603,0.497413,0.588974,0.630201,0.786406,0.820319,0.992298,0.123185,0.351825,0.509359,0.949153,0.962129,0.928014,0.345478,0.019775,0.343885,0 
0.356003,0.166505,0.688243,0.58232,0.501707,0.796817,0.117691,0.42208,0.623554,0.449188,0.256021,0.463095,0.866506,0.995326,0.004323,0.678768,0.419393,0.932279,0.879903,0.082075,1 
0.857785,0.833805,0.106827,0.696343,0.461264,0.568966,0.349075,0.121271,0.841797,0.594609,0.36493,0.149782,0.049002,0.184075,0.705902,0.087604,0.428469,0.541387,0.209485,0.65499,1 
0.900892,0.368323,0.442293,0.6088,0.002612,0.601211,0.438545,0.513202,0.982281,0.714926,0.048656,0.408525,0.483714,0.203507,0.963618,0.480349,0.86158,0.589953,0.013114,0.214703,1 
0.974457,0.592188,0.648761,0.940286,0.378846,0.87784,0.618632,0.104894,0.208135,0.177398,0.715152,0.110809,0.662063,0.393471,0.135715,0.042662,0.955106,0.743284,0.433828,0.161343,0 
0.776312,0.902231,0.25833,0.608816,0.798453,0.578178,0.079203,0.371222,0.540963,0.939429,0.880706,0.181458,0.939,0.843619,0.366068,0.707466,0.300048,0.870517,0.562677,0.068714,1 
0.939841,0.748609,0.842691,0.450956,0.680991,0.883487,0.281218,0.348076,0.570546,0.345515,0.962697,0.749918,0.626822,0.854871,0.315825,0.416255,0.161182,0.014012,0.808371,0.229616,0 
0.237054,0.280741,0.365411,0.503449,0.126329,0.949494,0.68805,0.037173,0.202368,0.71412,0.244355,0.655931,0.569226,0.222334,0.080256,0.950409,0.868266,0.400204,0.755377,0.940872,1 
